Question,Numbers,Equation,Answer,group_nums,Body,Ques
bryan had number0 precious stones in his collection which he sold to his friend from the jewelry store . if the stones were sold at $ number1 each how much money did bryan get in total ?,8 1785.00,* number0 number1,14280.0,"[1, 2, 3, 4, 33, 34, 35, 25, 26, 27]",bryan had number0 precious stones in his collection which he sold to his friend from the jewelry store . if the stones were sold at $ number1 each,how much money did bryan get in total ?
it is harvest season in the country . lewis whose family owns a fruit farm is busy overseeing their farmers while they are harvesting the fruits . his day starts by going to the apple orchard . the farmers reported that they harvest number0 sacks of apples from each of the number1 sections of the orchard daily . how many apples are harvested every day ?,45 8,* number0 number1,360.0,"[64, 5, 42, 43, 44, 48, 50, 51, 52, 62, 63]",it is harvest season in the country . lewis whose family owns a fruit farm is busy overseeing their farmers while they are harvesting the fruits . his day starts by going to the apple orchard . the farmers reported that they harvest number0 sacks of apples from each of the number1 sections of the orchard daily .,how many apples are harvested every day ?
next on his checklist are the strawberry fields . there he found out that they can get number0 kg of fruit for every row of strawberry plants . if there are number1 rows of strawberry plants how many kilograms of strawberries can they harvest ?,268 7,* number0 number1,1876.0,"[32, 2, 7, 41, 42, 43, 16, 17, 18, 22, 30, 31]",next on his checklist are the strawberry fields . there he found out that they can get number0 kg of fruit for every row of strawberry plants . if there are number1 rows of strawberry plants,how many kilograms of strawberries can they harvest ?
he then went to see the oranges being harvested . he found out that they harvest number0 sacks per day . how many sacks of oranges will they have after number1 days of harvest ?,83 6,* number0 number1,498.0,"[32, 1, 33, 5, 7, 15, 16, 17, 18, 29, 30, 31]",he then went to see the oranges being harvested . he found out that they harvest number0 sacks per day .,how many sacks of oranges will they have after number1 days of harvest ?
being his favorite he saved checking on the grapevines for his last stop . he was told by number0 the pickers that they fill number1 drums of grapes per day . how many drums of grapes would be filled in number2 days ?,1 324 9,* number1 number2,2916.0,"[1, 39, 40, 41, 9, 17, 18, 19, 20, 23, 24, 25, 28]",being his favorite he saved checking on the grapevines for his last stop . he was told by number0 the pickers that they fill number1 drums of grapes per day .,how many drums of grapes would be filled in number2 days ?
if lewis earns $ number0 every week during the number1 weeks of harvest . how much money does he earn during harvest season ?,1367.00 5,* number0 number1,6835.0,"[2, 3, 4, 5, 8, 9, 10, 20, 21, 22]",if lewis earns $ number0 every week during the number1 weeks of harvest .,how much money does he earn during harvest season ?
tyler an animal rights advocate decided to build his own animal sanctuary to protect different animals from poachers . the sanctuary was divided into different regions . the first region to be built was a bird sanctuary . initially he had number0 endangered bird species on that region . if each species has number1 pairs of birds how many pairs does he have in total ?,29 7,* number0 number1,203.0,"[64, 2, 3, 4, 40, 41, 42, 9, 44, 13, 50, 52, 53, 54, 62, 63]",tyler an animal rights advocate decided to build his own animal sanctuary to protect different animals from poachers . the sanctuary was divided into different regions . the first region to be built was a bird sanctuary . initially he had number0 endangered bird species on that region . if each species has number1 pairs of birds,how many pairs does he have in total ?
another region was the aquatic reserve for freshwater organisms . if there are number0 bodies of water in the region each having number1 different fishes how many fishes does he have in total ?,6 175,* number0 number1,1050.0,"[32, 2, 11, 12, 13, 14, 16, 20, 21, 22, 23, 24, 30, 31]",another region was the aquatic reserve for freshwater organisms . if there are number0 bodies of water in the region each having number1 different fishes,how many fishes does he have in total ?
he also had number0 aquariums for saltwater animals . each aquarium has number1 animals in it . how many saltwater animals does tyler have ?,8 64,* number0 number1,512.0,"[1, 2, 3, 4, 6, 9, 11, 12, 13, 21, 22, 23]",he also had number0 aquariums for saltwater animals . each aquarium has number1 animals in it .,how many saltwater animals does tyler have ?
the sanctuary also includes several swamp areas where most of the reptiles usually reside . if there are number0 swamps each having number1 different reptiles how many reptiles are living in the swamp areas ?,4 356,* number0 number1,1424.0,"[32, 33, 2, 6, 8, 11, 14, 17, 18, 19, 20, 21, 22, 23, 24, 31]",the sanctuary also includes several swamp areas where most of the reptiles usually reside . if there are number0 swamps each having number1 different reptiles,how many reptiles are living in the swamp areas ?
there are number0 more sections that are undeveloped . each of the remaining sections has a land area of number1 square feet . what is the total area of the undeveloped land ?,3 2435,* number0 number1,7305.0,"[1, 2, 3, 4, 9, 18, 19, 20, 29, 30, 31]",there are number0 more sections that are undeveloped . each of the remaining sections has a land area of number1 square feet .,what is the total area of the undeveloped land ?
it 's rachel 's birthday . her parents wanted her to have fun so they went to the circus that happened to be in town that day . upon arriving at the circus they went to the ticket booth and asked how much each ticket cost . if each ticket costs $ number0 and they bought number1 tickets how much money did they spend on tickets ?,44.00 7,* number0 number1,308.0,"[64, 65, 3, 8, 43, 48, 51, 52, 53, 55, 56, 57, 63]",it 's rachel 's birthday . her parents wanted her to have fun so they went to the circus that happened to be in town that day . upon arriving at the circus they went to the ticket booth and asked how much each ticket cost . if each ticket costs $ number0 and they bought number1 tickets,how much money did they spend on tickets ?
they entered the circus tent and saw that there are number0 seating sections for the audience . if each section can accommodate number1 people how many people can the tent accommodate in total ?,4 246,* number0 number1,984.0,"[32, 4, 8, 9, 10, 11, 12, 13, 18, 21, 22, 23, 30, 31]",they entered the circus tent and saw that there are number0 seating sections for the audience . if each section can accommodate number1 people,how many people can the tent accommodate in total ?
